artist,title,raw_title,status,source_url
Nite Life,Body Shake (Original Mix),Nite Life - Body Shake (Original Mix),new,https://www.youtube.com/watch?v=vE3zIcUHYE0
L.X.R.,Elixir Of Love (Elixir House),L.X.R. - Elixir Of Love (Elixir House),new,https://www.youtube.com/watch?v=Dl6einwb6yA
Latin Image,It's Been Cold (Radio Mix),Latin Image - It's Been Cold (Radio Mix),new,https://www.youtube.com/watch?v=LRqNq6eDpgo
Audiophile,Audiophile – The Ride [SGR 009],Audiophile – The Ride [SGR 009],new,https://www.youtube.com/watch?v=lskv9whlb7M
Monolith,The Bell Witch,Monolith - The Bell Witch,new,https://www.youtube.com/watch?v=_olvQYcGdrc
Quadsquad,Little Shaker Boys,Little Shaker Boys,new,https://www.youtube.com/watch?v=0FWfHkvuYcQ
Logtoad,Drill Beat,Logtoad - Drill Beat,new,https://www.youtube.com/watch?v=ZAEXEzcNNz0
Giddy Aunt,2Inches,2Inches,new,https://www.youtube.com/watch?v=768I7Pezl_I
Alphonse,Tribes of Atlantis [WRECKS015],Alphonse - Tribes of Atlantis [WRECKS015],new,https://www.youtube.com/watch?v=4W-xwXTU1pw
Piri Piri,Peak,Piri Piri - Peak,new,https://www.youtube.com/watch?v=TNpWIEqOoIY
Astrom,Nasty Bitch (PMS Remix),Nasty Bitch (PMS Remix),new,https://www.youtube.com/watch?v=ux34gtUk1A4
Rennie Pilgrem,Spooky,Spooky,new,https://www.youtube.com/watch?v=X82-iApyYw4
